id,title,original_language,avg_vote,vote_count,popularity,genres,release_date,adult
490132,Green Book,en,8.3,5937,36.259,"[35, 18]",2018-11-16,False
157336,Interstellar,en,8.3,21757,86.074,"[12, 18, 878]",2014-11-05,False
470044,The Hate U Give,en,8.3,1036,16.667,"[80, 18]",2018-10-19,False
398818,Call Me by Your Name,en,8.3,6539,36.743,"[18, 10749]",2017-09-01,False
28,Apocalypse Now,en,8.3,4733,29.87,"[18, 10752]",1979-08-15,False
299536,Avengers: Infinity War,en,8.3,17541,87.698,"[28, 12, 878]",2018-04-25,False
378064,A Silent Voice,ja,8.3,1497,27.991,"[18, 16, 10749]",2016-09-17,False
992,"Sherlock, Jr.",en,8.3,386,10.148,"[28, 35, 9648]",1924-04-19,False
105,Back to the Future,en,8.3,12725,48.019,"[12, 35, 878, 10751]",1985-07-03,False
531428,Portrait of a Lady on Fire,fr,8.3,505,32.415,"[18, 10749]",2019-06-17,False
8587,The Lion King,en,8.3,12049,51.283,"[16, 18, 10751]",1994-05-07,False
5156,Bicycle Thieves,it,8.3,1172,18.264,[18],1948-11-24,False
455661,In a Heartbeat,en,8.3,774,6.101,"[16, 35, 10749, 10751]",2017-06-01,False
10098,The Kid,en,8.2,1044,13.278,"[35, 18]",1921-01-21,False
284,The Apartment,en,8.2,1109,20.464,"[35, 18, 10749]",1960-06-21,False
670,Oldboy,ko,8.2,4580,27.816,"[28, 18, 9648, 53]",2003-11-21,False
517814,Capernaum,ar,8.2,673,20.329,[18],2018-10-06,False
705,All About Eve,en,8.2,824,15.524,[18],1950-10-06,False
1585,It's a Wonderful Life,en,8.2,2349,24.849,"[18, 10751, 14]",1946-12-20,False
77338,The Intouchables,fr,8.2,11356,42.833,"[35, 18]",2011-11-02,False
426,Vertigo,en,8.2,3060,24.905,"[9648, 10749, 53]",1958-05-09,False
110420,Wolf Children,ja,8.2,1253,18.612,"[16, 18, 14, 10751]",2012-07-21,False
490,The Seventh Seal,sv,8.2,1477,20.691,"[14, 18]",1957-02-16,False
28422,Love Exposure,ja,8.2,211,11.885,"[28, 35, 18, 10749]",2009-01-31,False
185,A Clockwork Orange,en,8.2,8061,28.056,"[18, 878]",1971-12-18,False
629,The Usual Suspects,en,8.2,6492,29.676,"[18, 80, 53]",1995-07-19,False
638507,How to Train Your Dragon: Homecoming,en,8.2,206,32.677,"[28, 12, 16, 14, 10751]",2019-10-25,False
406997,Wonder,en,8.2,4874,28.933,[18],2017-11-13,False
354912,Coco,en,8.2,10821,39.182,"[12, 16, 35, 14, 10751]",2017-10-27,False
475557,Joker,en,8.2,11293,136.951,"[80, 18, 53]",2019-10-02,False
694,The Shining,en,8.2,10556,40.84,"[27, 53]",1980-05-23,False
11,Star Wars,en,8.2,13290,89.202,"[28, 12, 878]",1977-05-25,False
19,Metropolis,de,8.2,1419,18.275,"[18, 878]",1927-01-10,False
11878,Yojimbo,ja,8.2,679,15.536,"[18, 53]",1961-04-25,False
9764,Dersu Uzala,ru,8.2,206,8.737,"[28, 12, 18]",1975-08-02,False
446159,Bacurau,pt,8.2,387,14.699,"[9648, 53, 37]",2019-08-29,False
437068,A Taxi Driver,ko,8.2,258,12.56,"[18, 36, 28]",2017-08-02,False
996,Double Indemnity,en,8.2,896,13.507,"[80, 9648, 53]",1944-07-03,False
77,Memento,en,8.2,9130,25.761,"[9648, 53]",2000-10-11,False
10494,Perfect Blue,ja,8.2,879,18.806,"[16, 53]",1997-07-25,False
579245,The Specials,fr,8.2,295,29.606,"[35, 18]",2019-10-23,False
38288,I Corti,it,8.2,290,7.704,[35],1996-01-01,False
429210,Bingo: The King of the Mornings,pt,8.2,227,7.249,"[35, 18]",2017-08-24,False
614,Wild Strawberries,sv,8.2,763,13.91,[18],1957-12-26,False
103,Taxi Driver,en,8.2,6544,32.556,"[80, 18]",1976-02-07,False
339877,Loving Vincent,en,8.2,1511,13.158,"[16, 18, 9648]",2017-06-22,False
399106,Piper,en,8.2,1003,15.379,"[16, 10751]",2016-06-16,False
439,La Dolce Vita,it,8.2,917,13.573,"[35, 18]",1960-02-05,False
239,Some Like It Hot,en,8.2,1888,23.997,"[35, 10749]",1959-03-19,False
548,Rashomon,ja,8.2,1044,17.713,"[80, 18, 9648]",1950-08-26,False
411088,The Invisible Guest,es,8.2,2279,47.063,"[80, 9648, 53]",2016-09-22,False
1396,Mirror,ru,8.2,419,13.937,"[18, 36]",1975-03-07,False
1124,The Prestige,en,8.2,9687,34.736,"[18, 9648, 53]",2006-10-19,False
