id,title,original_language,avg_vote,vote_count,popularity,genres,release_date
237791,The Way He Looks,pt,8.1,652,10.367,"[18, 10749]",2014-03-28
307,"Rome, Open City",it,8.1,391,10.224,"[18, 36]",1945-09-27
310569,The Second Mother,pt,8.1,431,9.462,[18],2015-02-08
46738,Incendies,fr,8.1,1241,14.597000000000001,"[18, 10752, 9648]",2010-09-04
378108,In This Corner of the World,ja,8.1,242,11.763,"[18, 16, 10749, 10752, 36]",2016-11-12
387,Das Boot,de,8.1,1125,19.414,"[18, 36, 10752]",1981-09-16
18438,Castaway on the Moon,ko,8.1,345,9.216000000000001,"[18, 35, 10749]",2009-05-14
10997,Farewell My Concubine,zh,8.1,236,17.097,[18],1993-09-16
582,The Lives of Others,de,8.1,2052,20.608,"[18, 53]",2006-03-15
110,Three Colors: Red,fr,8.1,631,13.444,"[18, 9648, 10749]",1994-05-27
406,La Haine,fr,8.1,1887,18.283,[18],1995-05-31
8422,Rocco and His Brothers,it,8.1,231,9.847999999999999,"[80, 18]",1960-10-06
11423,Memories of Murder,ko,8.1,1432,31.241,"[80, 18, 53]",2003-05-02
7347,Elite Squad,pt,8.1,1159,11.429,"[28, 80, 18]",2007-10-12
1394,Nostalgia,ru,8.1,233,10.31,"[18, 10749]",1983-05-01
204,The Wages of Fear,fr,8.1,399,11.615,"[18, 53, 12]",1953-04-21
103663,The Hunt,da,8.1,1912,26.518,[18],2012-09-24
11104,Chungking Express,cn,8.0,627,17.811,"[18, 35, 10749]",1994-07-14
360814,Dangal,hi,8.1,426,14.562000000000001,"[18, 28]",2016-12-21
20271,Divorce Italian Style,it,8.0,201,7.414,[35],1961-12-20
15383,Army of Shadows,fr,8.0,293,11.618,"[18, 53, 10752]",1969-09-10
29264,The Exterminating Angel,es,8.0,317,12.265,"[35, 18, 14]",1962-05-16
10404,Raise the Red Lantern,zh,8.0,333,12.043,[18],1991-12-20
17295,The Battle of Algiers,it,8.0,349,11.147,"[18, 36, 10752]",1966-09-08
3777,Throne of Blood,ja,8.0,368,16.827,"[18, 36]",1957-01-15
498249,Bad Seeds,fr,8.0,317,9.327,[35],2018-11-21
38286,Tre Uomini e una Gamba,it,8.0,1366,8.613999999999999,[35],1997-12-27
662,La Jetée,fr,8.0,382,10.569,"[878, 10749]",1962-02-16
938,For a Few Dollars More,it,8.0,2142,23.084,[37],1965-12-18
10238,Cries and Whispers,sv,8.0,301,12.043,[18],1972-12-21
15244,A Man Escaped,fr,8.0,204,8.372,"[18, 53, 10752]",1956-11-11
393729,Divines,fr,8.0,424,9.074,[18],2016-08-31
7508,Like Stars on Earth,hi,8.0,485,11.828,[18],2007-12-21
7857,Amarcord,it,8.0,527,10.42,"[35, 18]",1973-12-13
405,La Strada,it,8.0,493,9.637,[18],1954-07-16
430424,See You Up There,fr,8.0,785,14.739,"[35, 80, 18, 10752]",2017-10-25
775,A Trip to the Moon,fr,8.0,867,16.066,"[12, 14, 878]",1902-09-01
24167,Two Women,it,8.0,217,9.51,"[18, 10752]",1960-12-23
315465,The Boy and the Beast,ja,8.0,775,13.923,"[16, 14]",2015-07-11
41050,La Notte,it,8.0,243,8.628,[18],1961-01-23
564427,Minha Vida em Marte,pt,8.0,207,5.872000000000001,"[35, 10749]",2018-12-27
1626,Vivre Sa Vie,fr,8.0,306,8.561,[18],1962-08-28
505192,Shoplifters,ja,8.0,876,14.036,"[18, 80]",2018-06-02
31442,Ivan's Childhood,ru,8.0,294,9.222000000000001,"[18, 10752]",1962-05-05
60243,A Separation,fa,8.0,929,13.508,[18],2011-03-15
21334,Children of Heaven,fa,8.0,265,9.558,"[35, 18, 10751]",1997-08-01
586863,Les Misérables,fr,8.0,413,40.9,"[80, 18, 53]",2019-11-14
11656,The Virgin Spring,sv,8.0,268,9.343,"[80, 18]",1960-02-08
11010,The Postman,it,8.0,588,8.537,"[35, 18, 10749]",1994-04-07
10515,Castle in the Sky,ja,8.0,2170,28.666999999999998,"[12, 14, 16, 28, 10751, 10749]",1986-08-02
1675,Day for Night,fr,8.0,277,8.69,"[35, 18]",1973-05-24
25376,The Secret in Their Eyes,es,8.0,1361,14.305,"[80, 18, 9648, 10749]",2009-08-13
20453,3 Idiots,hi,7.9,1339,18.992,"[35, 18]",2009-12-23
234,The Cabinet of Dr. Caligari,de,7.9,696,13.304,"[80, 18, 27, 53]",1920-02-27
5544,Hiroshima Mon Amour,fr,7.9,346,9.401,"[18, 36, 10749]",1959-06-10
5511,Le Samouraï,fr,7.9,450,13.047,"[80, 53]",1967-10-25
33320,Millennium Actress,ja,7.9,304,14.385,"[16, 18, 10749]",2001-10-28
11953,Kagemusha,ja,7.9,310,10.302999999999999,"[28, 18, 36, 10752]",1980-04-26
381341,Perfect Strangers,it,7.9,3008,17.857,"[35, 18]",2016-02-11
20722,La Maison en Petits Cubes,ja,7.9,284,7.053,"[16, 18, 10751]",2008-06-10
827,Diabolique,fr,7.9,456,9.649,"[18, 27, 53]",1955-01-29
2011,Persepolis,fr,7.9,1103,9.472000000000001,"[16, 18]",2007-06-27
149,Akira,ja,7.9,1995,25.736,"[878, 16]",1988-07-16
359156,Don't Be Bad,it,7.9,594,9.013,"[80, 18]",2015-09-08
336804,Mustang,tr,7.9,927,7.779,[18],2015-06-17
20126,Deep Red,it,7.9,769,10.927,"[27, 9648, 53]",1975-03-07
9323,Ghost in the Shell,ja,7.9,1706,25.846,"[28, 16, 878]",1995-11-18
8290,Don't Look Now: We're Being Shot At,fr,7.9,756,20.921,"[35, 10752]",1966-12-07
25606,White Collar Blues,it,7.9,508,7.834,[35],1975-03-27
